Time,chloroplast,cytosol,RuBP,PGA,TP,Ru5P,Pi,ATP,ADP,E_RuBisCO,totRuBP,TPc,Pic,V6,P_0,RuBisCO,PGA_red,TP_red,RuBP_reg,TPT,ATP_S
0.0,1.0,1.0,2.0,2.4,0.5,0.0500747384155456,5.0,0.68,0.82,3.56,3.684962630792227,0.2,1.4,5.8801285588795,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0.175,1.0,1.0,1.8446143786348936,2.5842731056597783,0.4308316656583359,0.21758631659653446,4.7125080197223514,0.9956468735087591,0.5043531264912411,3.56,3.52957700942712,0.2,1.4,5.8801285588795,16.0,1.6411313807638137,1.8660347575710836,0.5888888888888889,0.2523445758437641,-0.20042514424536895,4.8704095134153444
0.35,1.0,1.0,1.7822322890832376,2.7084989745946606,0.4281236436113105,0.2879098609180867,4.515607337953402,1.1254703431716133,0.3745296568283865,3.56,3.467194919875463,0.2,1.4,5.8801285588795,16.0,1.6064490348950224,2.3928115151408966,0.5496679826664645,1.0686566459795397,-0.24488306359995976,4.5882971140181885
0.525,1.0,1.0,1.7579032514023363,2.811127201681106,0.436419757230618,0.3236136468000601,4.372039739231435,1.1710678906676564,0.3289321093323437,3.56,3.442865882194562,0.2,1.4,5.8801285588795,16.0,1.5902791099886613,2.550745627357191,0.547999161392125,1.3701412743511294,-0.22660904023061124,4.362178671018776
0.7,1.0,1.0,1.7520841339631563,2.904954172493672,0.44354762451586827,0.34406132580491766,4.254379717053475,1.1789636306213032,0.3210363693786967,3.56,3.4370467647553813,0.2,1.4,5.8801285588795,16.0,1.5836224272872188,2.6131166777464454,0.5530774932865502,1.5088556167198501,-0.2004027419979379,4.244388776051803
0.875,1.0,1.0,1.7561788324072318,2.995112374910118,0.4477565104765773,0.3563873214325743,4.146772245222396,1.171688621559419,0.32831137844058106,3.56,3.4411414631994584,0.2,1.4,5.8801285588795,16.0,1.5820013533774657,2.6413104572840824,0.55736092227947,1.5826170015781873,-0.17775410026861638,4.212109779911988
1.05,1.0,1.0,1.765787061851537,3.0837526017741275,0.44962880881804473,0.3637751520587315,4.0424230552704055,1.1589209967911636,0.3410790032088361,3.56,3.4507496926437637,0.2,1.4,5.8801285588795,16.0,1.583143202733743,2.656698167158168,0.5598563918292495,1.6253471776877153,-0.15912256202470812,4.219296735673529
1.225,1.0,1.0,1.7783998716164529,3.171786833949126,0.4499838400205938,0.36794151390605884,3.9390566723832294,1.1445061349236307,0.3554938650763688,3.56,3.463362502408681,0.2,1.4,5.8801285588795,16.0,1.5858009163670514,2.6673501392515386,0.5609585414248786,1.6511025581441299,-0.14310664733797815,4.238697296875429
1.4,1.0,1.0,1.7924963874801447,3.2595909935240854,0.4494252857382599,0.36994321520564233,3.8362352972811133,1.1298871717061558,0.3701128282938437,3.56,3.4774590182723717,0.2,1.4,5.8801285588795,16.0,1.5892435007069403,2.6763002769754585,0.5611669869044486,1.6666804468286376,-0.12849926935870332,4.259301956735548
1.575,1.0,1.0,1.807124466983642,3.3473021550599102,0.44832511973829436,0.37047852080022664,3.7341800141695862,1.1155399946802462,0.38446000531975366,3.56,3.492087097775868,0.2,1.4,5.8801285588795,16.0,1.5930287179126517,2.684648505177318,0.5608389706323736,1.6758095602684575,-0.1145449000694155,4.27751918025406
1.75,1.0,1.0,1.821680459134757,3.434951112418603,0.4468917707515702,0.37002109937378896,3.6332944152954174,1.101555422306654,0.39844457769334646,3.56,3.5066430899269836,0.2,1.4,5.8801285588795,16.0,1.5968868579561577,2.6927449174842213,0.5601916244908525,1.6807211705615746,-0.10083439325458281,4.292552330978983
1.925,1.0,1.0,1.8357806344370418,3.5225240166783327,0.4452342371257254,0.3688936111603312,3.533982170296919,1.0878794342801563,0.41212056571984423,3.56,3.5207432652292674,0.2,1.4,5.8801285588795,16.0,1.6006552163743704,2.7006519475358566,0.5593457078656897,1.6828160350655978,-0.08717546915469278,4.304546021156028
