Time,compartment,s1,at,s2,s3,na,s4,s5,s6,s6o,k0,k1,k2,k31,k33,k32,k34,k4,k5,k6,k7,k8,k9,k10,atot,ntot,n,ki,v1,v2,v3,v4,v5,v7,v8,v9,v10,v6,v0
0.0,1.0,1.0,2.0,5.0,0.6,0.6,0.7,8.0,0.08,0.02,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0025,1.0,0.9711179965951674,2.0463998995590322,5.030971936504421,0.5669933914585034,0.5771737081832605,0.6589202555155085,8.073559553661783,0.07141598166553102,0.020924505196549054,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,64.70588235294117,49.0,96.88326521453874,112.0,77.6,56.0,20.568,1.6,22.5,64.0,50.0
0.0050,1.0,0.9531526732785544,2.074687846349898,5.050422644533947,0.5522318161344841,0.5689426091886445,0.6215620883345301,8.125059434864209,0.07027881722045594,0.021337450107237404,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,58.962975167713886,49.30352497774333,86.55441010226806,102.98133418861484,78.31352767051929,57.2991971876529,20.545693420811155,1.6739604157239243,18.93430367586824,60.39310940817747,50.0
0.0075,1.0,0.9415652640163896,2.092383662504176,5.06310868519488,0.5449724241438799,0.5672029747875368,0.5933862250058541,8.16004485821277,0.07027151857828434,0.02161173329681874,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,55.697634539305966,49.49414191643269,82.5671328210203,95.73608343348872,78.81307651818283,58.09125969779715,20.400337015855655,1.7069960085789924,18.353012667456948,60.58840716071579,50.0
0.01,1.0,0.9339195487577067,2.1039182835751444,5.071597504684673,0.5409417092082492,0.5677570737376161,0.5737321152157865,8.18354868786055,0.07054514099233289,0.021830158423791733,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,53.72823246590824,49.61846511490983,81.11190553159649,90.55626058129124,79.15243512466385,58.586742550116924,20.21341145013977,1.7289386637454993,18.2474194805496,60.826608395687614,50.0
0.0125,1.0,0.9288382857974808,2.1118970562559203,5.077349667413875,0.5384165231965579,0.568980949240848,0.5605839681681566,8.199322931914791,0.07086636538894259,0.022018054375385242,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,52.4768281326932,49.7016555459098,80.60602087226226,87.02743790291291,79.38042227224733,58.909711940104046,20.038222081799567,1.7464126739033388,18.268118463202935,60.985276352236845,50.0
0.015,1.0,0.9255179916155564,2.117893279974571,5.081224267909305,0.5366734870294064,0.5702834000801018,0.5520451260398163,8.209965280526026,0.07116243624736111,0.022183375505415902,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,51.63968641989907,49.75802674065598,80.45086211317005,84.67521924112272,79.53343243957347,59.13311757516577,19.88820863812284,1.7614443500308195,18.318116630084003,61.089507081386515,50.0
0.0175,1.0,0.9234828273430228,2.122874695729648,5.083736289542292,0.5353899692802243,0.5714719237976227,0.5466657686957709,8.217211181163323,0.07141544722097525,0.02232886083965974,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,51.04683818047348,49.79599782551119,80.41896742836761,83.12062731814585,79.63666322110245,59.301011839287995,19.763920273921133,1.7746700404332723,18.367147778229455,61.159360292465074,50.0
0.02,1.0,0.9224495740733994,2.1274430479469135,5.085198198720886,0.5344075913172278,0.5725035445938829,0.5434234024727089,8.222199388195373,0.07162619423721309,0.022456033261741226,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,50.59927803697498,49.82061563751447,80.4247296146189,82.09281179177879,79.70694845728423,59.44049148043015,19.66211959555247,1.7863088671727791,18.407469892993316,61.207048417473864,50.0
0.0225,1.0,0.9222505992819278,2.1319707284242693,5.0858008332414295,0.5336382159791202,0.5733881111022341,0.5416259592869709,8.22566750669649,0.07180098734009577,0.022566375897939174,50.0,550.0,9.8,323.8,57823.1,76411.1,23.7,80.0,9.7,2000.0,28.0,85.7,80.0,375.0,4.0,1.0,4.0,1.0,50.2379501642555,49.83494234746469,80.436886087549,81.40730161668908,79.7553340654951,59.56840534251358,19.578794983291203,1.796482660939298,18.43881036580195,61.2398883012773,50.0
